| text                                                                                                                                                                                                                                                                                                                                                                                                    |   Emotion |   EmotionalPolarity |   Empathy |
|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------:|--------------------:|----------:|
| what did you think about this article                                                                                                                                                                                                                                                                                                                                                                   |         1 |                   1 |         1 |
| It's definitely really sad to read, considering everything they're all going through. What did you think?                                                                                                                                                                                                                                                                                               |         3 |                   2 |         4 |
| I think it's super sad... they seem to never catch a break, always struggling.                                                                                                                                                                                                                                                                                                                          |         4 |                   2 |         5 |
| I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.                                                                                                                                                                                                                                                                   |         3 |                   2 |         5 |
| Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em                                                                                                                                                                                               |         3 |                   2 |         5 |
| It also seems unnecessary for there to even be such a gap. With all of the wealthy countries out there, I hope Haiti gets the help it deserves, because we, and other countries, can certainly afford it.                                                                                                                                                                                               |         2 |                   2 |         3 |
| Agreed... with how frivilous and unnessary our spending is, it's so sad that countries like that don't get more support or guidance.                                                                                                                                                                                                                                                                    |         3 |                   2 |         3 |
| It's disheartening, isn't it? Places have the ability, money, time, and knowledge, and still refuse to help.                                                                                                                                                                                                                                                                                            |         4 |                   2 |         4 |
| It is so sad... Or even the millionaires/billionaires out there. I know some of them donate, but at some point, you can only spend so much money. Why not put it to use.                                                                                                                                                                                                                                |         3 |                   2 |         4 |
| Yep, exactly. It's just very frustrating overall. I think it's hard for others because they don't understand until their houses are being swept away for torrential floods.                                                                                                                                                                                                                             |         3 |                   2 |         3 |
| It is hard to fathom/process, it's hard for me to really imagine                                                                                                                                                                                                                                                                                                                                        |         3 |                   2 |         4 |
| Give it twenty more years, for the more compassionate people to come into leadership. I think we'll see a big difference.                                                                                                                                                                                                                                                                               |         2 |                   0 |         4 |
| I think that is a fair statement... the new generation seems more caring and compassionate and willing to help                                                                                                                                                                                                                                                                                          |         2 |                   0 |         3 |
| I know it sounds cold, but the older generation either doesn't care, or doesn't want to understand. Trust me, we'll see some major change soon enough.                                                                                                                                                                                                                                                  |         2 |                   2 |         3 |
| I totally agree... I know there are some out there that care, but the majority, and the ones in charge, really don't seem to                                                                                                                                                                                                                                                                            |         3 |                   2 |         3 |
| Well, it was really great talking to you. I can't think of anything else to say about the topic. goodbye                                                                                                                                                                                                                                                                                                |         2 |                   1 |         1 |
| we don't have enough lines yet                                                                                                                                                                                                                                                                                                                                                                          |         1 |                   1 |         1 |
| I apologize, I thought we did! I'm obviously a winner at counting. Hurricane Matthew was two years ago, wasn't it?                                                                                                                                                                                                                                                                                      |         1 |                   1 |         2 |
| Haha no worries, we should be there now. That sounds about right to me, crazy, time flies, seems like I was just hearing about it                                                                                                                                                                                                                                                                       |         2 |                   1 |         1 |
| I think I recall it spawning a second hurricane, too, but it calmed down before being too bad. Yeah, I was definitely a few lines off lol                                                                                                                                                                                                                                                               |         2 |                   1 |         2 |
| I kinda remember that too...Well it has been great talking to you! bye :)                                                                                                                                                                                                                                                                                                                               |         2 |                   0 |         1 |
| take care! goodbye                                                                                                                                                                                                                                                                                                                                                                                      |         1 |                   0 |         1 |
| I feel very sad for the people.                                                                                                                                                                                                                                                                                                                                                                         |         3 |                   2 |         3 |
| It's terrible. Not only the people but the animals as well!                                                                                                                                                                                                                                                                                                                                             |         4 |                   2 |         3 |
| Yeah, the whole situation is horrible.                                                                                                                                                                                                                                                                                                                                                                  |         4 |                   2 |         4 |
| I really wish there was something i could do.                                                                                                                                                                                                                                                                                                                                                           |         4 |                   1 |         4 |
| I know we can donate, but it's hard to know exactly how the money is used.                                                                                                                                                                                                                                                                                                                              |         3 |                   2 |         2 |
| I agree. Have you ever been in a hurricane?                                                                                                                                                                                                                                                                                                                                                             |         2 |                   1 |         0 |
| No, and You?                                                                                                                                                                                                                                                                                                                                                                                            |         1 |                   1 |         0 |
| Yes! It's actually terrifying. We were supposed to evacuate but decided to stay because we thought , what's the worst that can happen?                                                                                                                                                                                                                                                                  |         4 |                   2 |         0 |
| Sorry to hear that, I'm glad that you are okay!                                                                                                                                                                                                                                                                                                                                                         |         3 |                   0 |         0 |
| Thank you! I'm glad that we still had water and electricity. I can't even imagine what the people over in Haiti are going through                                                                                                                                                                                                                                                                       |         3 |                   1 |         3 |
| I felt really sorry for the sister that now has to rise her siblings.                                                                                                                                                                                                                                                                                                                                   |         4 |                   2 |         3 |
| Yeah, it's going to be tough but i am sure she is strong enough to raise them.                                                                                                                                                                                                                                                                                                                          |         3 |                   1 |         2 |
| Yeah, we never know what we can do unless we are tested.                                                                                                                                                                                                                                                                                                                                                |         2 |                   0 |         1 |
| True. Have you been in ANY kind of natural disasters?                                                                                                                                                                                                                                                                                                                                                   |         1 |                   1 |         0 |
| Tornado when I was young. They suck too.                                                                                                                                                                                                                                                                                                                                                                |         2 |                   2 |         2 |
| Never been in one but i can only imagine it's even scarier than a hurricane                                                                                                                                                                                                                                                                                                                             |         2 |                   2 |         2 |
| The power of nature is truly scary.                                                                                                                                                                                                                                                                                                                                                                     |         3 |                   2 |         1 |
| Agree. I hope those people get some water and food as soon as possible                                                                                                                                                                                                                                                                                                                                  |         3 |                   1 |         4 |
| Me too, I wish there was a direct way to aid the people.                                                                                                                                                                                                                                                                                                                                                |         3 |                   1 |         4 |
| Yup! Well it was nice talking to you! bye                                                                                                                                                                                                                                                                                                                                                               |         2 |                   0 |         0 |
| You too! bye                                                                                                                                                                                                                                                                                                                                                                                            |         2 |                   0 |         0 |
| what did you think about the article                                                                                                                                                                                                                                                                                                                                                                    |         1 |                   1 |         0 |
| It was such an eye opener about the suffering that happens that you never hear about                                                                                                                                                                                                                                                                                                                    |         3 |                   2 |         4 |
| its crazy the stuff that goes on in this world                                                                                                                                                                                                                                                                                                                                                          |         4 |                   1 |         3 |
| right i can't believe it. If that was the US they would be set up to avoid fsilure                                                                                                                                                                                                                                                                                                                      |         3 |                   2 |         3 |
| yeah some countries are so corrupt though                                                                                                                                                                                                                                                                                                                                                               |         3 |                   2 |         3 |
| true, i heard in puerto rico they did not even distrubute the hurricane supplies the US gave them                                                                                                                                                                                                                                                                                                       |         4 |                   2 |         3 |
| i remember  trump throwing toilet paper rolls at the crowd in puerto rico that was so embarrasing                                                                                                                                                                                                                                                                                                       |         3 |                   2 |         2 |
| o wow that is very embarrassing and degrading                                                                                                                                                                                                                                                                                                                                                           |         4 |                   2 |         3 |
| yeah wonder what was going through is head                                                                                                                                                                                                                                                                                                                                                              |         2 |                   1 |         2 |
| probably a power trip or an i'm better than you moment                                                                                                                                                                                                                                                                                                                                                  |         3 |                   2 |         2 |
| what do you think can be done to help the people in haiti                                                                                                                                                                                                                                                                                                                                               |         2 |                   1 |         1 |
| I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer                                                                                                                                                                                                                                                                               |         2 |                   0 |         3 |
| makes sense. also find better ways rather than trucks that are easily looted by the people                                                                                                                                                                                                                                                                                                              |         3 |                   1 |         3 |
| ahh so true!also insure that when you say there is enough for everyone that there actually is.                                                                                                                                                                                                                                                                                                          |         3 |                   1 |         2 |
| and also not let the haitian govt get there hands on any of it they are corrupt                                                                                                                                                                                                                                                                                                                         |         3 |                   1 |         3 |
| America should dethrone the government and make it the 51st state                                                                                                                                                                                                                                                                                                                                       |         3 |                   1 |         3 |
| thats a great idea                                                                                                                                                                                                                                                                                                                                                                                      |         2 |                   0 |         1 |
| hopefully these people get the help they need i am going to look into it after this                                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         3 |
| me too very interested in the outcome                                                                                                                                                                                                                                                                                                                                                                   |         2 |                   1 |         2 |
| so crazy the suffering that is going on that we have no idea about                                                                                                                                                                                                                                                                                                                                      |         3 |                   2 |         4 |
| were lucky to live here                                                                                                                                                                                                                                                                                                                                                                                 |         2 |                   0 |         2 |
| i agree makes my troubles seem so small                                                                                                                                                                                                                                                                                                                                                                 |         3 |                   0 |         2 |
| yeah makes u realize your problems are miniscule in comparison                                                                                                                                                                                                                                                                                                                                          |         3 |                   0 |         3 |
| i agree. it was so nice chatting with you. goodbye                                                                                                                                                                                                                                                                                                                                                      |         2 |                   0 |         1 |
| bye                                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         0 |
| Do you think the people of Haiti will ever recover from the effects of these recent natural disasters?                                                                                                                                                                                                                                                                                                  |         2 |                   1 |         2 |
| I am not sure it is a quite poor area :(                                                                                                                                                                                                                                                                                                                                                                |         3 |                   2 |         3 |
| Yes it is. The people there need a lot of help. What do you think are some of the best ways to get them the help they need                                                                                                                                                                                                                                                                              |         2 |                   1 |         3 |
| I think if the UN is able to get them the required funds that will help a lot.                                                                                                                                                                                                                                                                                                                          |         2 |                   0 |         3 |
